0000024-12-2006HEXAPOSTE COMPLET 38                                                    
01001 L ABERGEMENT CLEMENCIAT               01400 L ABERGEMENT CLEMENCIAT              
01334 ST ANDRE D HUIRIAT                    01290 ST ANDRE D HUIRIAT                   
01335 ST ANDRE LE BOUCHOUX                  01240 ST ANDRE LE BOUCHOUX                 
01336 ST ANDRE SUR VIEUX JONC               01960 ST ANDRE SUR VIEUX JONC              
01337 ST BENIGNE                            01190 ST BENIGNE                           
01338 ST BENOIT                             01300 ST BENOIT                            
01339 ST BERNARD                            01600 ST BERNARD                           
01340 ST BOIS                               01300 ST BOIS                              
01341 ST CHAMP                              01300 ST CHAMP                             
01342 STE CROIX                             01120 STE CROIX                            
01343 ST CYR SUR MENTHON                    01380 ST CYR SUR MENTHON                   
01344 ST DENIS LES BOURG                    01000 ST DENIS LES BOURG                   
01345 ST DENIS EN BUGEY                     01500 ST DENIS EN BUGEY                    
01346 ST DIDIER D AUSSIAT                   01340 ST DIDIER D AUSSIAT                  
01347 ST DIDIER DE FORMANS                  01600 ST DIDIER DE FORMANS                 
01348 ST DIDIER SUR CHALARONNE              01140 ST DIDIER SUR CHALARONNE             
01349 ST ELOI                               01800 ST ELOI                              
01350 ST ETIENNE DU BOIS                    01370*ST ETIENNE DU BOIS                   
01351 ST ETIENNE SUR CHALARONNE             01140 ST ETIENNE SUR CHALARONNE            
01352 ST ETIENNE SUR REYSSOUZE              01190 ST ETIENNE SUR REYSSOUZE             
01353 STE EUPHEMIE                          01600 STE EUPHEMIE                         
01354 ST GENIS POUILLY                      01630*ST GENIS POUILLY                     
01354CST GENIS POUILLY                      01632 ST GENIS POUILLY CEDEX               
01354CST GENIS POUILLY                      01633 ST GENIS POUILLY CEDEX               
01354CST GENIS POUILLY                      01634 ST GENIS POUILLY CEDEX               
01354CST GENIS POUILLY                      01635 ST GENIS POUILLY CEDEX               
01354XST GENIS POUILLY                      01636 ST GENIS POUILLY CEDEX               
01354CST GENIS POUILLY                      01637 ST GENIS POUILLY CEDEX               
01354CST GENIS POUILLY                      01638 ST GENIS POUILLY CEDEX               
01354CST GENIS POUILLY                      01639 ST GENIS POUILLY CEDEX               
01355 ST GENIS SUR MENTHON                  01380 ST GENIS SUR MENTHON                 
01356 ST GEORGES SUR RENON                  01400 ST GEORGES SUR RENON                 
01357 ST GERMAIN DE JOUX                    01130 ST GERMAIN DE JOUX                   
01358 ST GERMAIN LES PAROISSES              01300 ST GERMAIN LES PAROISSES             
01359 ST GERMAIN SUR RENON                  01240 ST GERMAIN SUR RENON                 
01360 ST JEAN DE GONVILLE                   01630 ST JEAN DE GONVILLE                  
01361 ST JEAN DE NIOST                      01800 ST JEAN DE NIOST                     
01362 ST JEAN DE THURIGNEUX                 01390 ST JEAN DE THURIGNEUX                
01363 ST JEAN LE VIEUX                      01640 ST JEAN LE VIEUX                     
01364 ST JEAN SUR REYSSOUZE                 01560 ST JEAN SUR REYSSOUZE                
01365 ST JEAN SUR VEYLE                     01290 ST JEAN SUR VEYLE                    
01366 STE JULIE                             01150 STE JULIE                            
01367 ST JULIEN SUR REYSSOUZE               01560 ST JULIEN SUR REYSSOUZE              
01368 ST JULIEN SUR VEYLE                   01540 ST JULIEN SUR VEYLE                  
01369 ST JUST                               01250 ST JUST                              
01370 ST LAURENT SUR SAONE                  01750 ST LAURENT SUR SAONE                 
01371 ST MARCEL                             01390 ST MARCEL                            
01372 ST MARTIN DE BAVEL                    01510 ST MARTIN DE BAVEL                   
01373 ST MARTIN DU FRENE                    01430 ST MARTIN DU FRENE                   
01374 ST MARTIN DU MONT                     01160 ST MARTIN DU MONT                    
01375 ST MARTIN LE CHATEL                   01310 ST MARTIN LE CHATEL                  
01376 ST MAURICE DE BEYNOST                 01700 ST MAURICE DE BEYNOST                
01378 ST MAURICE DE GOURDANS                01800 ST MAURICE DE GOURDANS               
01379 ST MAURICE DE REMENS                  01500 ST MAURICE DE REMENS                 
01380 ST NIZIER LE BOUCHOUX                 01560 ST NIZIER LE BOUCHOUX                
01381 ST NIZIER LE DESERT                   01320 ST NIZIER LE DESERT                  
01382 STE OLIVE                             01330 STE OLIVE                            
01383 ST PAUL DE VARAX                      01240 ST PAUL DE VARAX                     
01384 ST RAMBERT EN BUGEY                   01230 ST RAMBERT EN BUGEY                  
01385 ST REMY                               01310 ST REMY                              
01386 ST SORLIN EN BUGEY                    01150 ST SORLIN EN BUGEY                   
01387 ST SULPICE                            01340 ST SULPICE                           
01388 ST TRIVIER DE COURTES                 01560*ST TRIVIER DE COURTES                
01389 ST TRIVIER SUR MOIGNANS               01990 ST TRIVIER SUR MOIGNANS              
01390 ST VULBAS                             01150 ST VULBAS                            
01391 SALAVRE                               01270 SALAVRE                              
01392 SAMOGNAT                              01580 SAMOGNAT                             
01393 SANDRANS                              01400 SANDRANS                             
01396 SAULT BRENAZ                          01150 SAULT BRENAZ                         
01397 SAUVERNY                              01220 SAUVERNY                             
01398 SAVIGNEUX                             01480 SAVIGNEUX                            
01399 SEGNY                                 01170 SEGNY                                
01400 SEILLONNAZ                            01470 SEILLONNAZ                           
01401 SERGY                                 01630 SERGY                                
01402 SERMOYER                              01190 SERMOYER                             
01403 SERRIERES DE BRIORD                   01470 SERRIERES DE BRIORD                  
01404 SERRIERES SUR AIN                     01450 SERRIERES SUR AIN                    
01405 SERVAS                                01960 SERVAS                               
01406 SERVIGNAT                             01560 SERVIGNAT                            
01407 SEYSSEL                               01420*SEYSSEL                              
01408 SIMANDRE SUR SURAN                    01250 SIMANDRE SUR SURAN                   
01409 SONGIEU                               01260 SONGIEU                              
01410 SONTHONNAX LA MONTAGNE                01580 SONTHONNAX LA MONTAGNE               
01411 SOUCLIN                               01150 SOUCLIN                              
01412 SULIGNAT                              01400 SULIGNAT                             
01413 SURJOUX                               01420 SURJOUX                              
01414 SUTRIEU                               01260 SUTRIEU                              
01415 TALISSIEU                             01510 TALISSIEU                            
01416 TENAY                                 01230 TENAY                                
01417 THEZILLIEU                            01110 THEZILLIEU                           
01418 THIL                                  01120 THIL                                 
01419 THOIRY                                01710*THOIRY                               
01420 THOISSEY                              01140*THOISSEY                             
01421 TORCIEU                               01230 TORCIEU                              
01422 TOSSIAT                               01250 TOSSIAT                              
01423 TOUSSIEUX                             01600 TOUSSIEUX                            
01424 TRAMOYES                              01390 TRAMOYES                             
01425 LA TRANCLIERE                         01160 LA TRANCLIERE                        
01426 TREFFORT CUISIAT                      01370 TREFFORT CUISIAT                     
01427 TREVOUX                               01600*TREVOUX                              
01427CTREVOUX                               01601 TREVOUX CEDEX                        
01427CTREVOUX                               01602 TREVOUX CEDEX                        
01427CTREVOUX                               01603 TREVOUX CEDEX                        
01427CTREVOUX                               01604 TREVOUX CEDEX                        
01427CTREVOUX                               01605 TREVOUX CEDEX                        
01427CTREVOUX                               01606 TREVOUX CEDEX                        
01427XTREVOUX                               01607 TREVOUX CEDEX                        
01427XTREVOUX                               01608 TREVOUX CEDEX                        
01427CTREVOUX                               01609 TREVOUX CEDEX                        
01428 VALEINS                               01140 VALEINS                              
01429 VANDEINS                              01660 VANDEINS                             
01430 VARAMBON                              01160 VARAMBON                             
01431 VAUX EN BUGEY                         01150 VAUX EN BUGEY                        
01432 VERJON                                01270 VERJON                               
01433 VERNOUX                               01560 VERNOUX                              
01434 VERSAILLEUX                           01330 VERSAILLEUX                          
01435 VERSONNEX                             01210 VERSONNEX                            
01436 VESANCY                               01170 VESANCY                              
01437 VESCOURS                              01560 VESCOURS                             
01439 VESINES                               01570 VESINES                              
01440LVEYZIAT                               01100 OYONNAX                              
01441 VIEU D IZENAVE                        01430 VIEU D IZENAVE                       
01442 VIEU                                  01260 VIEU                                 
01443 VILLARS LES DOMBES                    01330*VILLARS LES DOMBES                   
01444 VILLEBOIS                             01150 VILLEBOIS                            
01445 VILLEMOTIER                           01270 VILLEMOTIER                          
01446 VILLENEUVE                            01480 VILLENEUVE                           
01447 VILLEREVERSURE                        01250 VILLEREVERSURE                       
01448 VILLES                                01200 VILLES                               
01449 VILLETTE SUR AIN                      01320 VILLETTE SUR AIN                     
01450 VILLIEU LOYES MOLLON                  01800 VILLIEU LOYES MOLLON                 
01451 VIRIAT                                01440*VIRIAT                               
01451CVIRIAT                                01441 VIRIAT CEDEX                         
01451CVIRIAT                                01442 VIRIAT CEDEX                         
01451CVIRIAT                                01443 VIRIAT CEDEX                         
01451CVIRIAT                                01444 VIRIAT CEDEX                         
01451XVIRIAT                                01445 VIRIAT CEDEX                         
01451CVIRIAT                                01446 VIRIAT CEDEX                         
01451XVIRIAT                                01447 VIRIAT CEDEX                         
01451XVIRIAT                                01448 VIRIAT CEDEX                         
01451CVIRIAT                                01449 VIRIAT CEDEX                         
01452 VIRIEU LE GRAND                       01510*VIRIEU LE GRAND                      
01453 VIRIEU LE PETIT                       01260 VIRIEU LE PETIT                      
01454 VIRIGNIN                              01300 VIRIGNIN                             
01455LVOLOGNAT                              01460 NURIEUX VOLOGNAT                     
01456 VONGNES                               01350 VONGNES                              
01457 VONNAS                                01540*VONNAS                               
01458LVOUVRAY                               01200 CHATILLON EN MICHAILLE               
01900LCAMP DE LA VALBONNE                   01360 CAMP DE LA VALBONNE                  
01904LCORGENON                              01310 BUELLAS                              
01906LJAILLEUX                              01120 MONTLUEL                             
01907LLA LECHERE                            01360 BRESSOLLES                           
01909LLA VALBONNE                           01360 BELIGNEUX                            
01910LCHANES                                01360 BELIGNEUX                            
01911LMARFOZ                                01800 BOURG ST CHRISTOPHE                  
01912LLE MAS RILLIER                        01700 MIRIBEL                              
01913LCERN SITE DE PREVESSIN                01630 CERN SITE DE PREVESSIN               
01914LBROU                                  01000 BOURG EN BRESSE                      
01915LLES ECHETS                            01700 MIRIBEL
